user,ch_num_sessions,ch_time_in_prob_sum,ch_time_in_video_sum,ch_ratio_clicks_weekend_day,ch_total_clicks_weekend,ch_total_clicks_weekday,ch_time_sessions_mean,ch_time_sessions_std,bo_delay_lecture,bo_reg_peak_dayhour,bo_reg_periodicity_m1,ma_competency_strength,ma_competency_anti,ma_content_anti,ma_student_shape,ma_student_speed,mu_speed_playback_mean,mu_frequency_action_relative_video_pause,wa_num_subs,wa_num_subs_correct,wa_num_subs_avg,wa_num_subs_perc_correct,la_pause_dur_mean,la_seek_len_std,la_pause_dur_std,la_time_speeding_up_mean,la_time_speeding_up_std,la_weekly_prop_watched_mean,la_weekly_prop_interrupted_mean,la_weekly_prop_interrupted_std,la_weekly_prop_replayed_mean,la_weekly_prop_replayed_std,la_frequency_action_video_play,grade,gender,category,year
10,5.3,7145.4,10431.9,42.87163737264954,51.1,117.9,1579.3632034632035,1235.174585265707,4674.4333333333325,89.09947892267957,6.804626072149676,0.4922222222222222,0.1705855629608165,0.18916666666666665,0.4758333333333333,30.32,0.8248789358410191,0.2613858570014646,4.1,3.3,0.6950000000000001,0.5008333333333334,82.5877664545768,54.62897302960653,168.31812132517766,30.878118462343092,85.01984476358996,0.44059829059829064,0.045396825396825394,0.0,0.045396825396825394,0.0,0.2181739958528997,5.75,F,France,Y2-2018-19
11,4.6,4889.7,8421.3,0.8218354506957048,40.9,140.3,2213.971666666667,1078.0500155277562,11665.298055555555,114.97421827047692,5.492551386988698,0.5613077894327894,0.03581167108753316,0.03835064935064934,0.4909226884226884,68.095,1.0855111059783782,0.3678333000438559,8.5,5.8,1.0854564879564879,0.5673396048396049,43.03537184979909,57.587285949523334,128.95054960064726,23.998759566017632,65.2245673160721,0.5997527472527473,0.13519841269841268,0.0,0.07023809523809524,0.0,0.3269268046883254,5.5,,,Y2-2018-19
12,1.1,1030.5,669.1,0.0,0.1,43.8,773.9,393.718748499767,29187.35,85.74884131614964,1.644882943563741,0.2603696303696304,0.0,0.010606060606060607,0.24878787878787878,10.775,0.6244318181818181,0.027642706131078228,6.4,2.6,0.9747474747474747,0.24398496240601503,2.925,6.0399828685587496,4.740941836622466,3.3347560975609754,9.641036494931921,0.20761904761904765,0.04,0.0,0.01,0.0,0.04815752949340736,3.5,M,France,Y2-2018-19
13,2.6,75.7,10708.2,0.21740090527150974,177.7,122.3,2560.389393939394,1106.1854522541867,60390.36793650794,165.96128832874564,4.139880679906234,0.0,0.0,0.21556277056277057,0.0,0.0,0.7,0.19786695880795518,0.0,0.0,0.0,0.0,24.158191698116408,24.874626271623164,67.8312886489725,0.0,0.0,0.3641514041514041,0.053956043956043954,0.0,0.04857142857142857,0.0,0.28596559826386814,2.5,M,France,Y2-2018-19
14,1.7,2295.0,3897.7,0.305672268907563,15.5,35.2,2582.6375,581.5997749619513,-25148.09642857143,41.8096902047333,2.599848976729583,0.3718686868686869,0.03772472737989979,0.05472727272727272,0.35787878787878785,35.075,0.7,0.07864013266998342,5.7,3.8,0.683030303030303,0.3375824175824176,134.44166666666666,4.528685954981824,64.08921774262157,0.0,0.0,0.5144444444444444,0.11476190476190476,0.0,0.04285714285714286,0.0,0.052360907059855764,5.0,M,France,Y2-2018-19
15,4.1,2435.7,12032.4,16.51290058479532,52.4,155.1,2849.3625,1608.320092636604,41254.98756132756,90.29448868882253,5.384012001724047,0.4182960927960928,0.006471306471306471,0.018787878787878787,0.3468009768009768,20.938333333333333,0.8249244712990936,0.26192809646809023,13.3,6.5,1.278550061050061,0.39690545203588684,98.71757641481325,41.80908216594116,225.31217047215682,6.848611111111111,18.144433972491363,0.7478296703296703,0.10971611721611722,0.0,0.12197802197802196,0.0,0.25878168666459056,2.75,M,Suisse.Autres,Y2-2018-19
16,4.4,3201.7,9462.6,1.4478325496342737,52.2,117.3,1995.4106349206347,1051.1597985584303,14538.805714285718,86.12946966498704,4.902591322483142,0.058333333333333334,0.007132331270262304,0.10747835497835498,0.03333333333333333,10.76,1.0,0.33430720302219985,0.6,0.3,0.2,0.05,59.86125716845687,49.096112760654265,102.11395437735084,0.0,0.0,0.6483760683760684,0.1391086691086691,0.0,0.059682539682539684,0.0,0.35558816617259953,2.25,F,France,Y2-2018-19
17,3.0,2656.7,7400.9,0.040680461357860034,102.3,14.0,2367.4466666666667,1591.4991041314481,32118.63333333334,81.75713057904294,3.553779217804589,0.06666666666666667,0.14902676669664996,0.23725008775008774,0.045454545454545456,17.55761904761905,0.9621546002574242,0.2842354938405446,1.7,1.0,0.15454545454545454,0.058823529411764705,57.08389028464543,100.48461049072648,112.2884518673088,71.17009763834933,153.16690617955328,0.08452380952380953,0.057738095238095234,0.0,0.0,0.0,0.24541798070219048,3.0,M,France,Y2-2018-19
18,2.8,93.7,9082.4,0.0,9.3,139.6,2812.0333333333333,755.0809950228203,9407.895,116.07932046197575,3.3696869139401513,0.26875,0.0,0.0030303030303030303,0.2583333333333333,7.133333333333335,1.0135433877166713,0.35088574656008803,2.2,1.2,0.7083333333333333,0.31666666666666665,66.43576067306735,44.96871516157476,116.49122831049013,22.940036231884058,58.1394067099924,0.6122344322344322,0.08402930402930403,0.0,0.05197802197802197,0.0,0.3753340287085728,3.0,M,Suisse.PAM,Y2-2018-19
19,3.9,1979.7,8331.5,0.6846838677942391,150.4,107.5,2070.9311904761903,766.3799669757788,-31808.528333333332,174.35167628438384,4.856740338889064,0.49944444444444447,0.18628319474538357,0.2290841815841816,0.4411111111111111,16.326666666666664,0.8250679347826086,0.254107273416472,3.8,2.3,1.1977777777777778,0.5043956043956044,34.83272648126258,112.6486261175443,65.84180667388426,3.5009433962264156,6.575227407641869,0.3246062271062271,0.11613858363858362,0.0,0.08275946275946275,0.0,0.3053342815789935,5.0,M,France,Y2-2018-19
